"操作日(年)","操作日(月)","操作日(日)","操作時刻(時)","操作時刻(分)","操作時刻(秒)","取引順番号","摘要","お支払金額","お預り金額","残高","メモ"
"2026","1","1","0","15","55","0000101","決算お利息 12月分","","84","815625",""
"2026","1","1","11","40","20","0000201","Vデビット　ｗｐＸ（自動引落）　1A001001","5280","","810345",""
"2026","1","2","0","40","3","0000101","Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A002001","23050","","787295",""
"2026","1","2","18","42","47","0000201","セブンATM出金","20000","","767295",""
"2026","1","3","12","49","17","0000101","セブンATM出金","20000","","747295",""
"2026","1","3","12","49","17","0000102","ＡＴＭ手数料","165","","747130",""
"2026","1","5","4","31","2","0000101","振込 ヤマグチ　カズエ","30000","","717130",""
"2026","1","5","4","31","2","0000102","振込手数料","145","","716985",""
"2026","1","5","13","36","5","0000201","セブンATM出金","15000","","701985",""
"2026","1","5","13","36","5","0000202","ＡＴＭ手数料","165","","701820",""
"2026","1","6","15","11","44","0000101","ローソンATM出金","30000","","671820",""
"2026","1","7","15","33","9","0000101","Vデビット　Google ADS8549114235　1A007001","2000","","669820",""
"2026","1","7","15","34","0","0000201","Vデビット　Google ADS8549114235　1A007001","","2000","671820",""
"2026","1","8","13","2","29","0000101","Vデビット　OPENAI *CHATGPT SUBSCR　1A008001","3556","","668264",""
"2026","1","9","5","16","54","0000101","セブンATM出金","50000","","618264",""
"2026","1","9","10","9","59","0000201","Vデビット　ｸﾞｰｸﾞﾙ･ｼﾞｬﾊﾟﾝ･ｼﾞｰ･ﾄﾞｯﾄ･　1A009001","1500","","616764",""
"2026","1","9","15","57","23","0000301","Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A009002","100000","","516764",""
"2026","1","10","15","33","58","0000101","Vデビット　WWW.GRAB.COM　1A010001","1491","","515273",""
"2026","1","10","16","38","19","0000201","Vデビット　WWW.GRAB.COM　1A010002","1496","","513777",""
"2026","1","11","0","2","40","0000101","Vデビット　WWW.GRAB.COM　1A011001","3424","","510353",""
"2026","1","11","0","54","20","0000201","Vデビット　WWW.GRAB.COM　1A011002","975","","509378",""
"2026","1","11","2","11","48","0000301","Vデビット　WWW.GRAB.COM　1A011003","912","","508466",""
"2026","1","12","0","53","51","0000101","Vデビット　WWW.GRAB.COM　1A012001","2856","","505610",""
"2026","1","12","10","52","15","0000201","Vデビット　WWW.GRAB.COM　1A012002","3455","","502155",""
"2026","1","12","11","40","36","0000301","Vデビット　WWW.GRAB.COM　1A012003","104","","502051",""
