操作日(年),操作日(月),操作日(日),操作時刻(時),操作時刻(分),操作時刻(秒),取引順番号,摘要,お支払金額,お預り金額,残高,メモ
2024,1,1,11,53,37,101,Visaデビット(1A001001),2640,,442440,
2024,1,1,20,2,49,201,セブンATM出金,50000,,392440,
2024,1,2,0,30,33,101,Visaデビット(1A002001),13542,,378898,
2024,1,3,14,19,14,101,ローソンATM出金,80000,,298898,
2024,1,10,3,43,0,101,Visaデビット(1A010001),780,,298118,
2024,1,10,11,41,16,201,Visaデビット(1A010002),680,,297438,
2024,1,11,21,45,19,101,Visaデビット(1A011003),220,,297218,
2024,1,13,1,6,18,101,Visaデビット(1A013001),100000,,197218,
2024,1,14,4,15,14,101,Visaデビット(1A014001),2338,,194880,
2024,1,14,22,49,33,201,Visaデビット(1A014002),1501,,193379,
2024,1,16,16,55,38,101,振込 ヤマグチ　カズエ,35000,,158379,
2024,1,16,16,55,38,102,振込手数料,160,,158219,
2024,1,18,18,41,6,101,Visaデビット(1A018001),100000,,58219,
2024,1,19,22,29,26,101,Visaデビット(1A019001),28000,,30219,
2024,1,20,18,13,39,101,セブンATM出金,30000,,219,
2024,1,25,9,9,57,101,振込 カ）　エ－トラツク,,869465,869684,
2024,1,25,19,21,57,201,Visaデビット(1A025001),200,,869484,
2024,1,25,19,23,36,301,Visaデビット(1A025001),,200,869684,
2024,1,25,19,24,17,401,Visaデビット(1A025003),200,,869484,
2024,1,25,19,25,27,501,Visaデビット(1A025003),,200,869684,
2024,1,26,2,20,1,101,損害保険ジャパン株式会社　　　,6390,,863294,
2024,1,26,2,20,1,201,東京海上日動　　　　　　　　　,6780,,856514,
2024,1,26,12,5,55,301,振込 ヤマグチ　カズエ,300000,,556514,
2024,1,26,12,5,55,302,振込手数料,160,,556354,
2024,1,27,21,56,37,101,Ｅ－ｎｅｔＡＴＭ,20000,,536354,
2024,1,27,21,56,37,102,ＡＴＭ手数料,165,,536189,
2024,1,28,13,44,22,101,Visaデビット(1A028001),100000,,436189,
2024,1,29,2,48,19,101,ＡＰアプラス　　　　　　　　　,29800,,406389,
2024,1,29,2,51,13,201,ＣＳＳ（ソンポヒマワリ　　　　,7364,,399025,
2024,1,31,22,9,32,101,Visaデビット(1A031001),6480,,392545,
2024,2,1,11,53,12,101,Visaデビット(1A032001),2640,,389905,
2024,2,2,1,11,25,101,Visaデビット(1A033001),34396,,355509,
2024,2,2,10,34,12,201,Visaデビット(1A033002),3080,,352429,
2024,2,8,17,30,40,101,セブンATM出金,40000,,312429,
2024,2,9,11,21,4,101,Visaデビット(1A040001),100000,,212429,
2024,2,14,4,12,45,101,Visaデビット(1A045001),2338,,210091,
2024,2,15,18,27,54,101,セブンATM出金,15000,,195091,
2024,2,15,18,27,54,102,ＡＴＭ手数料,165,,194926,
2024,2,17,18,57,25,101,Visaデビット(1A048001),100000,,94926,
2024,2,19,16,17,16,101,Visaデビット(1A050004),3040,,91886,
2024,2,22,8,59,21,101,振込 カ）　エ－トラツク,,884046,975932,
2024,2,22,15,24,19,201,Visaデビット(1A053002),69300,,906632,
2024,2,23,1,16,47,101,Visaデビット(1A054001),480,,906152,
2024,2,23,6,1,1,201,Visaデビット(1A054002),3080,,903072,
2024,2,24,19,48,54,101,Visaデビット(1A055001),9669,,893403,
2024,2,26,2,30,57,101,損害保険ジャパン株式会社　　　,6390,,887013,
2024,2,26,2,30,57,201,東京海上日動　　　　　　　　　,6780,,880233,
2024,2,26,12,26,10,301,振込 ヤマグチ　カズエ,305000,,575233,
2024,2,26,12,26,10,302,振込手数料,160,,575073,
2024,2,26,18,44,7,401,Visaデビット(1A057001),100000,,475073,
2024,2,27,3,2,56,101,ＡＰアプラス　　　　　　　　　,29800,,445273,
2024,2,27,3,5,48,201,ＣＳＳ（ソンポヒマワリ　　　　,7364,,437909,
2024,2,27,14,49,0,301,セブンATM出金,50000,,387909,
2024,2,29,17,15,35,101,Visaデビット(1A060001),9500,,378409,
2024,3,1,1,15,48,101,Visaデビット(1A061001),6480,,371929,
2024,3,1,11,52,40,201,Visaデビット(1A061002),2640,,369289,
2024,3,1,17,57,21,301,振込 ヤマグチ　カズエ,25000,,344289,
2024,3,1,17,57,21,302,振込手数料,160,,344129,
2024,3,2,0,25,0,101,Visaデビット(1A062001),34391,,309738,
2024,3,9,14,22,6,101,Visaデビット(1A069001),100000,,209738,
2024,3,11,19,2,19,101,Ｅ－ｎｅｔＡＴＭ,60000,,149738,
2024,3,14,3,5,39,101,Visaデビット(1A074001),2338,,147400,
2024,3,16,14,16,42,101,Ｅ－ｎｅｔＡＴＭ,20000,,127400,
2024,3,16,14,16,42,102,ＡＴＭ手数料,165,,127235,
2024,3,18,21,5,29,101,Visaデビット(1A078001),100000,,27235,
2024,3,23,6,1,9,101,Visaデビット(1A083001),3080,,24155,
2024,3,23,20,31,36,201,Ｅ－ｎｅｔＡＴＭ,20000,,4155,
2024,3,23,20,31,36,202,ＡＴＭ手数料,165,,3990,
2024,3,25,9,15,7,101,振込 カ）　エ－トラツク,,963049,967039,
2024,3,25,14,6,13,201,振込 ヤマグチ　カズエ,300000,,667039,
2024,3,25,14,6,13,202,振込手数料,160,,666879,
2024,3,25,14,7,6,301,振込 オオトモ　マサオ,39200,,627679,
2024,3,25,14,7,6,302,振込手数料,55,,627624,
2024,3,26,2,21,34,101,損害保険ジャパン株式会社　　　,6390,,621234,
2024,3,26,2,21,34,201,東京海上日動　　　　　　　　　,6780,,614454,
2024,3,27,3,2,48,101,ＡＰアプラス　　　　　　　　　,29800,,584654,
2024,3,27,3,5,42,201,ＣＳＳ（ソンポヒマワリ　　　　,7364,,577290,
2024,3,27,21,32,37,301,振込 ヤマグチ　カズエ,70000,,507290,
2024,3,27,21,32,37,302,振込手数料,160,,507130,
2024,3,27,22,0,55,401,Visaデビット(1A087002),3380,,503750,
2024,3,27,22,1,3,501,Visaデビット(1A087003),1760,,501990,
2024,3,27,22,57,1,601,Visaデビット(1A087004),66980,,435010,
2024,3,28,12,56,50,101,Visaデビット(1A088001),100000,,335010,
2024,3,29,14,31,16,101,セブンATM出金,30000,,305010,
2024,3,29,21,19,1,201,セブンATM入金,,40000,345010,
2024,4,1,1,4,9,101,Vデビット　Adobe　1A092001,6480,,338530,
2024,4,1,11,52,10,201,Vデビット　ｗｐＸ（自動引落）　1A092002,2640,,335890,
2024,4,1,23,58,58,301,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A092003,34371,,301519,
2024,4,4,23,33,39,101,Ｅ－ｎｅｔＡＴＭ,35000,,266519,
2024,4,6,16,16,5,101,振込 オオトモ　マサオ,10000,,256519,
2024,4,6,16,16,5,102,振込手数料,55,,256464,
2024,4,9,17,12,12,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A100001,100000,,156464,
2024,4,9,23,33,20,201,ローソンATM出金,15000,,141464,
2024,4,9,23,33,20,202,ＡＴＭ手数料,165,,141299,
2024,4,11,15,44,12,101,ローソンATM出金,20000,,121299,
2024,4,11,15,44,12,102,ＡＴＭ手数料,165,,121134,
2024,4,14,3,45,44,101,Vデビット　ZOOM.US 888-799-9666　1A105001,2338,,118796,
2024,4,14,23,2,10,201,Vデビット　ＤＭＭ　1A105002,980,,117816,
2024,4,16,11,25,18,101,Vデビット　ＤＭＭ　1A107001,686,,117130,
2024,4,18,14,5,30,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A109001,100000,,17130,
2024,4,19,20,49,42,101,セブンATM出金,10000,,7130,
2024,4,19,20,49,42,102,ＡＴＭ手数料,165,,6965,
2024,4,23,6,1,0,101,Vデビット　ﾗｸﾗｸﾌﾘ-ﾜｲﾌｱｲ　1A114001,3080,,3885,
2024,4,25,11,46,57,101,振込 カ）　エ－トラツク,,968732,972617,
2024,4,25,15,50,52,201,振込 ヤマグチ　カズエ,300000,,672617,
2024,4,25,15,50,52,202,振込手数料,160,,672457,
2024,4,25,15,53,22,301,振込 カ）ビジヨンプロ,42000,,630457,
2024,4,25,15,53,22,302,振込手数料,160,,630297,
2024,4,25,16,22,4,401,セブンATM出金,30000,,600297,
2024,4,26,2,23,37,101,損害保険ジャパン株式会社　　　,5860,,594437,
2024,4,26,2,23,37,201,東京海上日動　　　　　　　　　,6780,,587657,
2024,4,27,14,11,45,101,Vデビット　やまや　下石田店　1A118001,7878,,579779,
2024,4,27,17,39,9,201,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A118002,100000,,479779,
2024,4,29,8,7,25,101,Vデビット　石和健康ランド　1A120001,29730,,450049,
2024,4,29,8,38,40,201,セブンATM出金,30000,,420049,
2024,4,30,4,25,30,101,ＡＰアプラス　　　　　　　　　,29800,,390249,
